League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS,Column1,impliedFGM,impliedFGA,impliedFG%,implied3FGM,implied3FGA,implied3FG%,impliedFTM,impliedFTA,impliedFT%,impliedREB,impliedAST,impliedSTL,impliedBLK,impliedTO,impliedPF,impliedPTS
NBA,1991,Denver Nuggets,DEN,82,3262,7380,0.44,126,418,0.3,1526,2067,0.74,1350,2352,3702,1553,773,461,1447,1984,8176,39.8,90.0,0.44,1.5,5.1,0.3,18.6,25.2,0.74,16.5,28.7,45.1,18.9,9.4,5.6,17.6,24.2,99.7,332,2805,6439,0.435626650100947,126,418,0.301435406698565,1189,1536,0.774088541666667,2743,1382,720,246,1128,1675,6925
NBA,1991,Detroit Pistons,DET,82,3191,6867,0.46,165,526,0.31,1566,2108,0.74,1210,2421,3631,1899,546,357,1212,1646,8113,38.9,83.7,0.46,2,6.4,0.31,19.1,25.7,0.74,14.8,29.5,44.3,23.2,6.7,4.4,14.8,20.1,98.9,385,3183,6846,0.464943032427695,162,521,0.310940499040307,1561,2103,0.74227294341417,3625,1894,543,357,1174,1638,8089
NBA,1991,Golden State Warriors,GSW,82,3767,7427,0.51,254,763,0.33,1944,2606,0.75,1137,2376,3513,2064,854,375,1353,2049,9732,45.9,90.6,0.51,3.1,9.3,0.33,23.7,31.8,0.75,13.9,29,42.8,25.2,10.4,4.6,16.5,25.0,118.7,435,3689,7271,0.507357997524412,254,761,0.33377135348226,1909,2542,0.750983477576711,3363,2033,837,354,1289,1954,9541
NBA,1991,Houston Rockets,HOU,82,3273,6894,0.47,329,959,0.34,1491,2020,0.74,1074,2432,3506,2058,656,571,1378,1769,8366,39.9,84.1,0.47,4,11.7,0.34,18.2,24.6,0.74,13.1,29.7,42.8,25.1,8,7,16.8,21.6,102.0,479,3076,6474,0.475131294408403,326,946,0.3446088794926,1388,1856,0.747844827586207,3210,1860,596,499,1222,1593,7866
NBA,1991,Indiana Pacers,IND,82,3498,7079,0.49,333,940,0.35,1868,2364,0.79,1083,2564,3647,2398,705,393,1402,2137,9197,42.7,86.3,0.49,4.1,11.5,0.35,22.8,28.8,0.79,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2,531,3476,7033,0.494241433243282,333,940,0.354255319148936,1862,2350,0.792340425531915,3612,2372,701,392,1363,2116,9147
NBA,1991,Los Angeles Clippers,LAC,82,3347,7076,0.47,145,502,0.29,1601,2223,0.72,1132,2393,3525,2053,824,498,1269,1873,8440,40.8,86.3,0.47,1.8,6.1,0.29,19.5,27.1,0.72,13.8,29.2,43.0,25.0,10,6.1,15.5,22.8,102.9,579,3199,6702,0.4773202029245,117,416,0.28125,1522,2114,0.71996215704825,3399,1867,755,482,1167,1765,8037
NBA,1991,Los Angeles Lakers,LAL,82,3183,6977,0.46,119,445,0.27,1744,2278,0.77,1156,2196,3352,1803,756,400,1089,1543,8229,38.8,85.1,0.46,1.5,5.4,0.27,21.3,27.8,0.77,14.1,26.8,40.9,22.0,9.2,4.9,13.3,18.8,100.4,634,3031,6600,0.459242424242424,117,429,0.272727272727273,1689,2185,0.772997711670481,3139,1691,723,376,959,1361,7868
NBA,1991,Miami Heat,MIA,82,3256,7061,0.46,257,751,0.34,1839,2329,0.79,1187,2366,3553,1749,670,373,1377,1819,8608,39.7,86.1,0.46,3.1,9.2,0.34,22.4,28.4,0.79,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105.0,693,2856,6115,0.4670482420278,249,718,0.346796657381616,1657,2089,0.793202489229296,2993,1493,586,300,1151,1442,7618
NBA,1991,Milwaukee Bucks,MIL,82,3321,7216,0.46,371,1005,0.37,1596,2104,0.76,1297,2172,3469,2018,863,317,1350,1904,8609,40.5,88.0,0.46,4.5,12.3,0.37,19.5,25.7,0.76,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105.0,743,3237,7016,0.461374002280502,371,1005,0.369154228855721,1521,2006,0.758225324027916,3297,1984,844,298,1263,1805,8366
NBA,1991,Minnesota Timberwolves,MIN,82,3366,7342,0.46,126,394,0.32,1379,1857,0.74,1167,2168,3335,2025,619,526,1157,1866,8237,41.0,89.5,0.46,1.5,4.8,0.32,16.8,22.6,0.74,14.2,26.4,40.7,24.7,7.5,6.4,14.1,22.8,100.5,788,2634,5686,0.463243053112909,121,373,0.324396782841823,946,1273,0.743126472898665,2067,1769,490,265,799,1237,6335
NBA,1991,New York Knicks,NYK,82,3312,6947,0.48,201,618,0.33,1503,2049,0.73,1185,2489,3674,2130,634,382,1242,1905,8328,40.4,84.7,0.48,2.5,7.5,0.33,18.3,25.0,0.73,14.5,30.4,44.8,26.0,7.7,4.7,15.1,23.2,101.6,975,3046,6379,0.477504311020536,190,590,0.322033898305085,1304,1742,0.748564867967853,3007,1998,577,349,1078,1612,7586
NBA,1991,Oklahoma City Thunder,SEA,82,3380,7128,0.47,205,647,0.32,1772,2263,0.78,1282,2257,3539,1877,775,448,1323,1952,8737,41.2,86.9,0.47,2.5,7.9,0.32,21.6,27.6,0.78,15.6,27.5,43.2,22.9,9.5,5.5,16.1,23.8,106.5,1318,3269,6867,0.476044852191641,193,606,0.318481848184819,1718,2194,0.783044667274385,3414,1833,748,437,1232,1861,8449
NBA,1991,Orlando Magic,ORL,82,3220,7102,0.45,197,608,0.32,1693,2268,0.75,1171,2329,3500,1792,643,367,1389,1977,8330,39.3,86.6,0.45,2.4,7.4,0.32,20.6,27.7,0.75,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6,1027,2916,6485,0.449653045489591,191,580,0.329310344827586,1571,2092,0.750956022944551,3126,1708,584,308,1217,1771,7594
NBA,1991,Philadelphia 76ers,PHI,82,3187,6761,0.47,227,680,0.33,1757,2267,0.78,1058,2309,3367,1755,692,482,1238,1582,8358,38.9,82.5,0.47,2.8,8.3,0.33,21.4,27.6,0.78,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9,1089,2958,6188,0.478021978021978,206,623,0.330658105939005,1641,2095,0.783293556085919,3081,1503,614,455,1053,1310,7763
NBA,1991,Phoenix Suns,PHO,82,3553,7219,0.49,227,596,0.38,1861,2397,0.78,1088,2558,3646,2202,673,582,1242,1852,9194,43.3,88.0,0.49,2.8,7.3,0.38,22.7,29.2,0.78,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1,1130,3227,6634,0.486433524268918,227,596,0.380872483221476,1689,2137,0.790360318203088,3023,2098,626,471,1054,1508,8370
NBA,1991,Portland Trail Blazers,POR,82,3476,7352,0.47,325,944,0.34,1858,2463,0.75,1294,2549,3843,2065,753,410,1328,1983,9135,42.4,89.7,0.47,4,11.5,0.34,22.7,30.0,0.75,15.8,31.1,46.9,25.2,9.2,5,16.2,24.2,111.4,1174,3247,6869,0.472703450283884,322,934,0.34475374732334,1765,2337,0.755241762943945,3473,1994,718,367,1214,1788,8581
NBA,1991,Sacramento Kings,SAC,82,3348,7189,0.47,238,675,0.35,1615,2162,0.75,1054,2354,3408,1957,727,618,1360,1763,8549,40.8,87.7,0.47,2.9,8.2,0.35,19.7,26.4,0.75,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,1221,3054,6553,0.466046085762246,226,625,0.3616,1428,1895,0.753562005277045,3177,1847,654,575,1223,1635,7762
NBA,1991,San Antonio Spurs,SAS,82,3377,7090,0.48,118,404,0.29,1652,2246,0.74,1229,2552,3781,2010,729,608,1308,1799,8524,41.2,86.5,0.48,1.4,4.9,0.29,20.1,27.4,0.74,15,31.1,46.1,24.5,8.9,7.4,16,21.9,104.0,1263,3006,6272,0.479272959183673,117,397,0.294710327455919,1439,1947,0.739085772984078,3171,1758,621,577,1085,1444,7568
NBA,1991,Utah Jazz,UTA,82,3379,6866,0.49,158,458,0.34,1961,2490,0.79,1097,2543,3640,2188,715,448,1264,1746,8877,41.2,83.7,0.49,1.9,5.6,0.34,23.9,30.4,0.79,13.4,31,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1421,2965,5984,0.495487967914438,158,454,0.348017621145374,1714,2168,0.790590405904059,2631,2017,602,212,1084,1293,7802
NBA,1991,Washington Wizards,WAS,82,3364,7301,0.46,146,537,0.27,1521,1956,0.78,1069,2345,3414,2011,713,422,1254,1852,8395,41.0,89.0,0.46,1.8,6.5,0.27,18.5,23.9,0.78,13,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4,1478,3326,7195,0.462265462126477,146,535,0.272897196261682,1498,1912,0.78347280334728,3088,1945,669,330,1170,1633,8296
NBA,1992,Atlanta Hawks,ATL,82,3392,7272,0.47,382,1076,0.36,1648,2221,0.74,1290,2344,3634,2084,806,278,1339,1807,8814,41.4,88.7,0.47,4.7,13.1,0.36,20.1,27.1,0.74,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5,17,3293,7028,0.468554354012521,367,1020,0.359803921568627,1624,2182,0.744271310724106,3480,1981,765,262,1231,1686,8577
NBA,1992,Boston Celtics,BOS,82,3453,7093,0.49,110,383,0.29,1486,1912,0.78,1076,2436,3512,1999,647,458,1174,1862,8502,42.1,86.5,0.49,1.3,4.7,0.29,18.1,23.3,0.78,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7,97,2792,5843,0.477836727708369,110,383,0.287206266318538,1233,1555,0.792926045016077,2382,1915,563,307,915,1458,6927
NBA,1992,Brooklyn Nets,NJN,82,3272,7084,0.46,155,488,0.32,1732,2258,0.77,1291,2506,3797,1872,693,526,1355,1892,8431,39.9,86.4,0.46,1.9,6,0.32,21.1,27.5,0.77,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8,900,3150,6754,0.466390287237193,154,485,0.317525773195876,1665,2125,0.783529411764706,3225,1849,670,416,1242,1659,8119
NBA,1992,Charlotte Hornets,CHA,82,3512,7210,0.49,175,537,0.33,1831,2374,0.77,1095,2508,3603,2161,639,473,1325,1790,9030,42.8,87.9,0.49,2.1,6.5,0.33,22.3,29.0,0.77,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1,143,3394,6941,0.488978533352543,175,534,0.327715355805243,1762,2282,0.772129710780018,3361,2117,626,451,1237,1673,8725
NBA,1992,Chicago Bulls,CHI,82,3475,7205,0.48,244,669,0.36,1431,1952,0.73,1290,2283,3573,2133,783,410,1103,1804,8625,42.4,87.9,0.48,3,8.2,0.36,17.5,23.8,0.73,15.7,27.8,43.6,26.0,9.5,5,13.5,22.0,105.2,190,3286,6746,0.487103468722206,243,664,0.365963855421687,1344,1828,0.735229759299781,3280,2002,733,396,980,1583,8159
NBA,1992,Cleveland Cavaliers,CLE,82,3425,6887,0.5,283,742,0.38,1699,2119,0.8,929,2496,3425,2349,615,536,1120,1580,8832,41.8,84.0,0.5,3.5,9,0.38,20.7,25.8,0.8,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7,243,3111,6208,0.501127577319588,283,740,0.382432432432432,1467,1776,0.826013513513513,2886,2152,544,418,958,1327,7972
NBA,1992,Dallas Mavericks,DAL,82,3164,7271,0.44,283,837,0.34,1530,2171,0.7,1234,2265,3499,1683,649,355,1459,2302,8141,38.6,88.7,0.44,3.5,10.2,0.34,18.7,26.5,0.7,15,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,286,2786,6362,0.437912606098711,222,669,0.331838565022422,1358,1933,0.702534919813761,2998,1445,545,304,1230,1898,7152
